Dataset_Type,Data_File,Label_File
train,Normalized1_Defect12x12_ELNOD_L8B7.npy,12x12DefectLabel1_L8B7.npy
train,Normalized1_Defect12x12_ELNOD_L14B3.npy,12x12DefectLabel1_L14B3.npy
train,Normalized1_Defect12x12_ELNOD_L11B1.npy,12x12DefectLabel1_L11B1.npy
train,Normalized1_Defect12x12_ELNOD_L13B1.npy,12x12DefectLabel1_L13B1.npy
train,Normalized1_Defect12x12_ELNOD_L12B9.npy,12x12DefectLabel1_L12B9.npy
train,Normalized1_Defect12x12_ELNOD_L12B5.npy,12x12DefectLabel1_L12B5.npy
train,Normalized1_Defect12x12_ELNOD_L17B8.npy,12x12DefectLabel1_L17B8.npy
train,Normalized1_Defect12x12_ELNOD_L17B2.npy,12x12DefectLabel1_L17B2.npy
train,Normalized1_Defect12x12_ELNOD_L16B10.npy,12x12DefectLabel1_L16B10.npy
train,Normalized1_Defect12x12_ELNOD_L6B1.npy,12x12DefectLabel1_L6B1.npy
train,Normalized1_Defect12x12_ELNOD_L12B7.npy,12x12DefectLabel1_L12B7.npy
train,Normalized1_Defect12x12_ELNOD_L18B2.npy,12x12DefectLabel1_L18B2.npy
train,Normalized1_Defect12x12_ELNOD_L10B4.npy,12x12DefectLabel1_L10B4.npy
train,Normalized1_Defect12x12_ELNOD_L8B9.npy,12x12DefectLabel1_L8B9.npy
train,Normalized1_Defect12x12_ELNOD_L15B10.npy,12x12DefectLabel1_L15B10.npy
train,Normalized1_Defect12x12_ELNOD_L11B9.npy,12x12DefectLabel1_L11B9.npy
train,Normalized1_Defect12x12_ELNOD_L17B1.npy,12x12DefectLabel1_L17B1.npy
train,Normalized1_Defect12x12_ELNOD_L16B3.npy,12x12DefectLabel1_L16B3.npy
train,Normalized1_Defect12x12_ELNOD_L3B10.npy,12x12DefectLabel1_L3B10.npy
train,Normalized1_Defect12x12_ELNOD_L13B5.npy,12x12DefectLabel1_L13B5.npy
train,Normalized1_Defect12x12_ELNOD_L15B7.npy,12x12DefectLabel1_L15B7.npy
train,Normalized1_Defect12x12_ELNOD_L9B2.npy,12x12DefectLabel1_L9B2.npy
train,Normalized1_Defect12x12_ELNOD_L14B9.npy,12x12DefectLabel1_L14B9.npy
train,Normalized1_Defect12x12_ELNOD_L18B3.npy,12x12DefectLabel1_L18B3.npy
train,Normalized1_Defect12x12_ELNOD_L10B2.npy,12x12DefectLabel1_L10B2.npy
train,Normalized1_Defect12x12_ELNOD_L11B2.npy,12x12DefectLabel1_L11B2.npy
train,Normalized1_Defect12x12_ELNOD_L8B6.npy,12x12DefectLabel1_L8B6.npy
train,Normalized1_Defect12x12_ELNOD_L13B8.npy,12x12DefectLabel1_L13B8.npy
train,Normalized1_Defect12x12_ELNOD_L17B10.npy,12x12DefectLabel1_L17B10.npy
train,Normalized1_Defect12x12_ELNOD_L12B1.npy,12x12DefectLabel1_L12B1.npy
train,Normalized1_Defect12x12_ELNOD_L13B6.npy,12x12DefectLabel1_L13B6.npy
train,Normalized1_Defect12x12_ELNOD_L19B1.npy,12x12DefectLabel1_L19B1.npy
train,Normalized1_Defect12x12_ELNOD_L8B8.npy,12x12DefectLabel1_L8B8.npy
train,Normalized1_Defect12x12_ELNOD_L2B4.npy,12x12DefectLabel1_L2B4.npy
train,Normalized1_Defect12x12_ELNOD_L11B10.npy,12x12DefectLabel1_L11B10.npy
train,Normalized1_Defect12x12_ELNOD_L8B4.npy,12x12DefectLabel1_L8B4.npy
train,Normalized1_Defect12x12_ELNOD_L17B3.npy,12x12DefectLabel1_L17B3.npy
train,Normalized1_Defect12x12_ELNOD_L14B6.npy,12x12DefectLabel1_L14B6.npy
train,Normalized1_Defect12x12_ELNOD_L17B7.npy,12x12DefectLabel1_L17B7.npy
train,Normalized1_Defect12x12_ELNOD_L10B3.npy,12x12DefectLabel1_L10B3.npy
train,Normalized1_Defect12x12_ELNOD_L15B9.npy,12x12DefectLabel1_L15B9.npy
train,Normalized1_Defect12x12_ELNOD_L12B10.npy,12x12DefectLabel1_L12B10.npy
train,Normalized1_Defect12x12_ELNOD_L5B4.npy,12x12DefectLabel1_L5B4.npy
train,Normalized1_Defect12x12_ELNOD_L5B1.npy,12x12DefectLabel1_L5B1.npy
train,Normalized1_Defect12x12_ELNOD_L2B8.npy,12x12DefectLabel1_L2B8.npy
train,Normalized1_Defect12x12_ELNOD_L9B7.npy,12x12DefectLabel1_L9B7.npy
train,Normalized1_Defect12x12_ELNOD_L2B2.npy,12x12DefectLabel1_L2B2.npy
train,Normalized1_Defect12x12_ELNOD_L14B4.npy,12x12DefectLabel1_L14B4.npy
train,Normalized1_Defect12x12_ELNOD_L15B5.npy,12x12DefectLabel1_L15B5.npy
train,Normalized1_Defect12x12_ELNOD_L16B8.npy,12x12DefectLabel1_L16B8.npy
train,Normalized1_Defect12x12_ELNOD_L5B2.npy,12x12DefectLabel1_L5B2.npy
train,Normalized1_Defect12x12_ELNOD_L14B5.npy,12x12DefectLabel1_L14B5.npy
train,Normalized1_Defect12x12_ELNOD_L3B8.npy,12x12DefectLabel1_L3B8.npy
val,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
val,Normalized1_Defect12x12_ELNOD_L2B6.npy,12x12DefectLabel1_L2B6.npy
val,Normalized1_Defect12x12_ELNOD_L19B6.npy,12x12DefectLabel1_L19B6.npy
val,Normalized1_Defect12x12_ELNOD_L4B6.npy,12x12DefectLabel1_L4B6.npy
val,Normalized1_Defect12x12_ELNOD_L12B3.npy,12x12DefectLabel1_L12B3.npy
val,Normalized1_Defect12x12_ELNOD_L9B1.npy,12x12DefectLabel1_L9B1.npy
val,Normalized1_Defect12x12_ELNOD_L4B4.npy,12x12DefectLabel1_L4B4.npy
val,Normalized1_Defect12x12_ELNOD_L15B4.npy,12x12DefectLabel1_L15B4.npy
val,Normalized1_Defect12x12_ELNOD_L14B7.npy,12x12DefectLabel1_L14B7.npy
val,Normalized1_Defect12x12_ELNOD_L4B5.npy,12x12DefectLabel1_L4B5.npy
val,Normalized1_Defect12x12_ELNOD_L19B10.npy,12x12DefectLabel1_L19B10.npy
val,Normalized1_Defect12x12_ELNOD_L15B2.npy,12x12DefectLabel1_L15B2.npy
val,Normalized1_Defect12x12_ELNOD_L5B9.npy,12x12DefectLabel1_L5B9.npy
val,Normalized1_Defect12x12_ELNOD_L3B3.npy,12x12DefectLabel1_L3B3.npy
val,Normalized1_Defect12x12_ELNOD_L13B4.npy,12x12DefectLabel1_L13B4.npy
val,Normalized1_Defect12x12_ELNOD_L19B3.npy,12x12DefectLabel1_L19B3.npy
val,Normalized1_Defect12x12_ELNOD_L11B7.npy,12x12DefectLabel1_L11B7.npy
val,Normalized1_Defect12x12_ELNOD_L19B7.npy,12x12DefectLabel1_L19B7.npy
val,Normalized1_Defect12x12_ELNOD_L7B4.npy,12x12DefectLabel1_L7B4.npy
val,Normalized1_Defect12x12_ELNOD_L7B8.npy,12x12DefectLabel1_L7B8.npy
test,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
test,Normalized1_Defect12x12_ELNOD_L16B1.npy,12x12DefectLabel1_L16B1.npy
test,Normalized1_Defect12x12_ELNOD_L16B5.npy,12x12DefectLabel1_L16B5.npy
test,Normalized1_Defect12x12_ELNOD_L6B7.npy,12x12DefectLabel1_L6B7.npy
test,Normalized1_Defect12x12_ELNOD_L7B5.npy,12x12DefectLabel1_L7B5.npy
test,Normalized1_Defect12x12_ELNOD_L19B9.npy,12x12DefectLabel1_L19B9.npy
test,Normalized1_Defect12x12_ELNOD_L11B5.npy,12x12DefectLabel1_L11B5.npy
test,Normalized1_Defect12x12_ELNOD_L6B2.npy,12x12DefectLabel1_L6B2.npy
test,Normalized1_Defect12x12_ELNOD_L9B6.npy,12x12DefectLabel1_L9B6.npy
test,Normalized1_Defect12x12_ELNOD_L11B4.npy,12x12DefectLabel1_L11B4.npy
test,Normalized1_Defect12x12_ELNOD_L3B5.npy,12x12DefectLabel1_L3B5.npy
test,Normalized1_Defect12x12_ELNOD_L3B6.npy,12x12DefectLabel1_L3B6.npy
test,Normalized1_Defect12x12_ELNOD_L3B2.npy,12x12DefectLabel1_L3B2.npy
test,Normalized1_Defect12x12_ELNOD_L3B7.npy,12x12DefectLabel1_L3B7.npy
test,Normalized1_Defect12x12_ELNOD_L3B1.npy,12x12DefectLabel1_L3B1.npy
test,Normalized1_Defect12x12_ELNOD_L15B3.npy,12x12DefectLabel1_L15B3.npy
test,Normalized1_Defect12x12_ELNOD_L7B7.npy,12x12DefectLabel1_L7B7.npy
test,Normalized1_Defect12x12_ELNOD_L14B1.npy,12x12DefectLabel1_L14B1.npy
test,Normalized1_Defect12x12_ELNOD_L2B1.npy,12x12DefectLabel1_L2B1.npy
test,Normalized1_Defect12x12_ELNOD_L9B3.npy,12x12DefectLabel1_L9B3.npy
